ctu_prmry,tr10,tr_ej,holc_pred,score
Minneapolis,27053108600,1,0,25.1036
Minneapolis,27053125700,1,0,25.4796
Roseville,27123041700,0,NULL,22.4544
Minneapolis,27053108900,0,0,24.538
Cottage Grove,27163071208,0,NULL,24.585
Minneapolis,27053109300,0,0,24.8148
Lakeville,27037060820,0,NULL,22.3184
Mahtomedi,27163070303,0,NULL,25.1208
Edina,27053023700,0,NULL,22.8342
St. Louis Park,27053022302,0,NULL,24.8104
St. Paul,27123037402,1,0,21.6524
Richfield,27053024500,0,NULL,23.6498
Oakdale,27163070910,0,NULL,22.793
Minnetonka,27053026207,0,NULL,23.723
South St. Paul,27037060402,0,NULL,26.2092
Minneapolis,27053126100,0,0.048,24.939
Centerville,27003050232,0,NULL,23.8322
Prior Lake,27139080903,1,NULL,22.4842
St. Paul,27123031200,1,0,24.1026
Arden Hills,27123040801,0,NULL,22.8438
Prior Lake,27139080904,0,NULL,23.2596
Plymouth,27053026613,0,NULL,23.3696
Eagan,27037060716,0,NULL,24.013
Columbia Heights,27003051400,0,NULL,25.052
Farmington,27037060907,0,NULL,21.6426
New Hope,27053021503,0,NULL,25.1288
Minneapolis,27053000603,0,0,24.7334
Apple Valley,27037060822,0,NULL,21.4192
Minneapolis,27053100700,1,0,25.359
St. Paul,27123035000,0,0,23.991
Chanhassen,27019090501,0,NULL,23.126
Maple Grove,27053026707,0,NULL,23.0334
Bloomington,27053025403,1,NULL,24.5012
Coon Rapids,27003050702,0,NULL,24.0482
Minneapolis,27053105500,0,0.192,23.7852
Cottage Grove,27163071400,0,NULL,25.6052
Lakeville,27037060813,0,NULL,22.382
St. Paul,27123031801,1,0,22.7018
Brooklyn Park,27053026814,1,NULL,23.4936
St. Paul,27123033600,1,0.895,24.074
East Bethel,27003050110,0,NULL,22.9094
Minneapolis,27053008500,1,0,25.4114
St. Louis Park,27053022902,0,NULL,23.8962
Edina,27053023901,0,NULL,24.4478
Eagan,27037060750,0,NULL,24.4874
Minneapolis,27053003300,1,0.127,23.591
Lakeville,27037060818,0,NULL,24.5186
Roseville,27123041301,0,NULL,24.0498
Roseville,27123041400,0,NULL,22.9816
Minneapolis,27053111300,0,0,24.9926
St. Paul,27123035300,0,0.064,23.277
Chanhassen,27019090702,0,NULL,21.7788
Brooklyn Park,27053026809,1,NULL,24.4534
Victoria,27019090401,0,NULL,22.6966
Burnsville,27037060710,0,NULL,24.0966
Minneapolis,27053125600,0,0.069,24.9178
Stillwater,27163070602,0,NULL,24.4556
Bloomington,27053125500,0,NULL,26.3468
Robbinsdale,27053021400,0,NULL,24.7054
Eden Prairie,27053026018,0,NULL,22.7226
Mendota Heights,27037060606,0,NULL,23.756
Eagan,27037060728,0,NULL,23.7162
St. Paul,27123043000,0,0,23.6054
Greenfield,27053027001,0,NULL,22.68
St. Paul,27123031000,1,0,24.5936
Minneapolis,27053104100,1,0.05,24.6438
Lakeville,27037060816,0,NULL,24.4928
Minneapolis,27053003200,1,0,24.5102
Oakdale,27163070907,0,NULL,22.9708
St. Paul,27123032100,1,0,25.0768
St. Paul,27123036800,1,0.403,23.1716
St. Paul,27123031100,1,0,23.6172
Mendota Heights,27037060603,0,NULL,23.3006
Minnetonka,27053026208,0,NULL,23.4544
Oak Grove,27003050114,0,NULL,22.727
Burnsville,27037060714,0,NULL,23.909
Excelsior,27053027501,0,NULL,21.067
Anoka,27003050501,0,NULL,23.8872
Wayzata,27053027300,0,NULL,23.2504
Edina,27053023802,0,NULL,23.069
Brooklyn Park,27053026816,1,NULL,25.5196
Fridley,27003051206,0,NULL,25.6378
St. Paul,27123035500,0,0,23.643
Bloomington,27053025302,0,NULL,25.4074
Blaine,27003050811,0,NULL,25.4744
Plymouth,27053026612,0,NULL,24.2952
Maple Grove,27053026715,0,NULL,23.5178
Brooklyn Center,27053020302,1,NULL,25.8714
St. Paul,27123032300,0,0,23.9424
Oak Park Heights,27163070703,0,NULL,23.3568
Rosemount,27037061007,0,NULL,24.3454
Eden Prairie,27053026007,0,NULL,23.6398
Eagan,27037060744,0,NULL,24.2342
Bloomington,27053025603,0,NULL,24.6216
Champlin,27053026907,0,NULL,23.3386
Burnsville,27037060746,0,NULL,24.4818
Columbia Heights,27003051502,0,NULL,24.3868
St. Paul,27123030202,0,0,25.2974
Oakdale,27163070909,0,NULL,24.1228
Burnsville,27037060745,0,NULL,24.0248
St. Paul,27123033700,1,0.834,25.812
Lakeville,27037060821,0,NULL,23.6534
Savage,27139080202,0,NULL,23.8044
Minneapolis,27053105100,0,0,24.1966
Minneapolis,27053100500,0,0.19,25.3252
Richfield,27053024600,0,NULL,23.4744
Brooklyn Center,27053020500,1,NULL,24.6016
Burnsville,27037060709,0,NULL,23.8172
Minneapolis,27053108800,1,0.189,25.8178
Anoka,27003050505,0,NULL,23.7064
Minneapolis,27053106400,1,0.096,24.7614
New Hope,27053021501,0,NULL,23.7412
Stillwater,27163070601,0,NULL,23.8056
Minneapolis,27053102300,1,0.417,26.3028
Minneapolis,27053101200,0,0.158,25.6254
North St. Paul,27123042700,0,NULL,23.7812
Minneapolis,27053000101,1,0.659,24.5018
Afton,27163071102,0,NULL,21.2208
Inver Grove Heights,27037060502,0,NULL,24.3452
Minneapolis,27053011703,0,0,23.8522
Mendota Heights,27037060604,0,NULL,24.0746
Minneapolis,27053104900,1,0.253,24.3938
Eagan,27037060731,0,NULL,21.3024
Apple Valley,27037060806,0,NULL,23.212
Forest Lake,27163070106,0,NULL,22.9414
Hopkins,27053023200,1,NULL,24.0168
Minneapolis,27053103900,1,0,25.3716
Richfield,27053024400,0,NULL,24.7834
White Bear Lake,27123040502,0,NULL,23.0914
Fridley,27003051101,0,NULL,23.3464
Lino Lakes,27003050230,0,NULL,23.3414
Minneapolis,27053103400,1,1,24.7708
Minneapolis,27053105204,1,0.567,25.2178
Inver Grove Heights,27037060509,0,NULL,22.7032
Minneapolis,27053125800,1,0,26.1456
St. Paul,27123031802,1,0,23.7918
Woodbury,27163071006,0,NULL,24.6264
Minneapolis,27053110500,0,0,24.3924
Coon Rapids,27003050711,0,NULL,23.3226
Minnetonka,27053026101,0,NULL,22.0816
Shoreview,27123040707,0,NULL,24.0874
Bloomington,27053025401,1,NULL,25.1016
North Oaks,27123040601,0,NULL,22.3598
Fridley,27003051201,1,NULL,25.6268
Eagan,27037060730,0,NULL,24.25
St. Paul,27123034400,1,0,24.6618
Inver Grove Heights,27037060503,0,NULL,24.5208
Minneapolis,27053009600,0,0,24.6538
Newport,27163071003,0,NULL,22.3362
Inver Grove Heights,27037060506,0,NULL,23.7518
Minneapolis,27053108700,0,0,26.6898
Eden Prairie,27053026005,0,NULL,23.2458
St. Paul,27123036600,0,0.082,24.2242
Maple Grove,27053026713,0,NULL,22.8284
St. Louis Park,27053022101,0,NULL,24.533
St. Paul,27123030702,1,0,24.4986
Rogers,27053026909,0,NULL,22.2484
South St. Paul,27037060201,0,NULL,24.3068
Eden Prairie,27053026022,0,NULL,24.8414
Bloomington,27053025805,0,NULL,22.6066
St. Paul,27123030201,0,0,23.7848
Minneapolis,27053012003,1,0,25.6646
Brooklyn Park,27053026811,1,NULL,25.2994
Minneapolis,27053008200,1,0,27.0062
Falcon Heights,27123041900,0,NULL,23.6574
Eagan,27037060717,0,NULL,25.1296
Chanhassen,27019090503,0,NULL,21.1648
Lakeville,27037060814,0,NULL,24.6028
Shakopee,27139080302,0,NULL,23.192
Fort Snelling (Unorganized),27053980000,1,NULL,25.5046
Burnsville,27037060748,0,NULL,23.3932
St. Louis Park,27053022400,0,NULL,24.9482
Maplewood,27123042503,0,NULL,24.506
Bloomington,27053025907,0,NULL,23.7046
White Bear Lake,27123040401,0,NULL,24.0194
Brooklyn Park,27053026820,0,NULL,24.3336
St. Paul Park,27163071300,0,NULL,23.7624
Golden Valley,27053021800,0,NULL,23.7902
Fridley,27003051202,0,NULL,25.377
Edina,27053023502,0,NULL,23.3582
Plymouth,27053026510,0,NULL,25.0328
Blaine,27003050818,0,NULL,23.5074
White Bear Lake,27123040402,0,NULL,23.4894
Columbia Heights,27003051305,1,NULL,24.825
Norwood Young America,27019091201,0,NULL,21.501
West St. Paul,27037060104,0,NULL,24.422
Minneapolis,27053000300,0,0,24.9972
Coon Rapids,27003050602,0,NULL,23.8906
Bloomington,27053025906,0,NULL,22.5132
Richfield,27053024903,1,NULL,27.7346
Brooklyn Park,27053026822,0,NULL,24.1374
Oakdale,27163070912,1,NULL,23.6002
Carver,27019091100,0,NULL,20.7592
Plymouth,27053026512,0,NULL,24.4532
Lake Elmo,27163070406,0,NULL,23.6174
Ramsey,27003050225,0,NULL,22.7876
Victoria,27019090402,0,NULL,22.678
Maplewood,27123042401,0,NULL,23.8378
Shoreview,27123040705,0,NULL,23.1234
Falcon Heights,27123042001,1,NULL,25.4662
Minnetonka,27053026202,0,NULL,23.8654
St. Louis Park,27053022301,0,NULL,24.4798
Minneapolis,27053111500,0,0,25.4794
St. Louis Park,27053022801,0,NULL,22.0302
Minneapolis,27053012001,0,0,25.5042
Maplewood,27123042302,1,NULL,24.4526
Minneapolis,27053102800,1,0.173,24.6406
Bloomington,27053025803,0,NULL,24.3654
St. Paul,27123031702,1,0,23.9702
St. Louis Park,27053023000,0,NULL,25.523
Rosemount,27037061003,0,NULL,25.0354
Savage,27139080201,0,NULL,23.546
Maple Grove,27053026710,0,NULL,24.2684
Minnetonka,27053026403,0,NULL,24.8534
Ham Lake,27003050215,0,NULL,23.1798
Ramsey,27003050228,0,NULL,22.7974
St. Paul,27123030602,0,0,24.2776
Rosemount,27037061009,0,NULL,23.916
Shakopee,27139080600,0,NULL,23.8964
Roseville,27123041500,0,NULL,23.2608
Plymouth,27053026505,0,NULL,22.9032
Edina,27053023501,0,NULL,23.4668
Edina,27053023801,0,NULL,23.6888
Apple Valley,27037060829,0,NULL,25.1684
Blaine,27003050813,0,NULL,24.2504
Savage,27139080204,0,NULL,23.0826
South St. Paul,27037060401,0,NULL,24.755
Bloomington,27053025205,0,NULL,25.4436
St. Paul,27123034202,0,0.094,24.8598
St. Paul,27123032200,0,0,24.7208
West St. Paul,27037060105,1,NULL,24.9234
St. Paul,27123037403,1,0.358,25.1904
North St. Paul,27123042602,0,NULL,23.8768
St. Louis Park,27053122600,0,NULL,26.388
Crystal,27053020804,1,NULL,24.9196
Brooklyn Park,27053026818,1,NULL,25.35
Minneapolis,27053109400,1,0.178,25.002
Burnsville,27037060711,1,NULL,24.5176
Minneapolis,27053110000,1,0.36,25.3692
Blaine,27003050810,0,NULL,24.94
Minneapolis,27053105201,0,0.198,26.1376
Shoreview,27123040703,0,NULL,23.8528
Andover,27003050218,0,NULL,23.1736
St. Paul,27123036900,0,0.868,24.2362
New Brighton,27123041106,0,NULL,24.5914
West St. Paul,27037060101,0,NULL,25.766
St. Anthony,27053020101,0,NULL,23.7922
Crystal,27053020700,0,NULL,25.063
Minneapolis,27053005901,1,1,25.2352
Apple Valley,27037060825,0,NULL,24.2234
Farmington,27037060905,0,NULL,22.298
Savage,27139080205,0,NULL,22.8382
Farmington,27037060904,0,NULL,22.0242
Columbus,27003050210,0,NULL,22.017
Apple Valley,27037060805,1,NULL,25.2612
Hopkins,27053023400,1,NULL,24.8018
Hastings,27037061102,0,NULL,21.7936
Blaine,27003050809,0,NULL,23.8704
St. Paul,27123031701,1,0.045,23.3616
Hastings,27037061107,0,NULL,21.5664
Orono,27053027201,0,NULL,23.3738
Golden Valley,27053021601,0,NULL,24.3328
Minnetonka,27053026103,0,NULL,25.3996
St. Paul,27123036400,0,0,24.3204
Medina,27053027101,0,NULL,22.5758
St. Paul,27123030900,1,0.175,23.7934
Maple Grove,27053026714,0,NULL,22.8124
White Bear Lake,27123040301,0,NULL,24.1266
Bloomington,27053025802,0,NULL,23.7922
Spring Lake Park,27003051001,0,NULL,24.7502
Minneapolis,27053102600,1,0.167,26.7458
Oakdale,27163070906,0,NULL,22.0976
Minneapolis,27053106700,0,0,25.1576
Coon Rapids,27003050607,0,NULL,24.3646
Maple Grove,27053026706,0,NULL,23.4426
Mounds View,27123040902,0,NULL,24.9322
Eden Prairie,27053026016,0,NULL,24.3234
Eden Prairie,27053026015,0,NULL,22.5782
Mounds View,27123041001,0,NULL,23.7226
Andover,27003050217,0,NULL,22.9052
Plymouth,27053026611,0,NULL,23.739
St. Paul,27123042800,1,0.834,25.3924
Fridley,27003051203,0,NULL,23.8292
Plymouth,27053026514,0,NULL,23.9034
Andover,27003050221,0,NULL,23.1258
South St. Paul,27037060202,0,NULL,24.2184
Credit River Township,27139081000,0,NULL,22.3364
Apple Valley,27037060823,0,NULL,24.3306
Coon Rapids,27003050704,0,NULL,24.0344
Lakeville,27037060817,0,NULL,24.4356
St. Francis,27003050108,0,NULL,21.952
St. Paul,27123033100,1,0.222,25.173
Chanhassen,27019090502,0,NULL,23.5736
St. Paul,27123030703,1,0,24.8566
Minneapolis,27053106000,1,0.519,25.7102
Richfield,27053024300,0,NULL,25.304
West St. Paul,27037060103,0,NULL,24.023
Minneapolis,27053109800,0,0,24.9476
Grant,27163070403,0,NULL,23.1856
Columbia Heights,27003051501,1,NULL,24.7836
Eagan,27037060743,1,NULL,23.3658
Champlin,27053026906,0,NULL,24.141
Minneapolis,27053102100,1,0,25.4962
St. Paul,27123035100,0,0,25.0698
Hugo,27163070204,0,NULL,22.6328
St. Paul,27123030601,1,0,24.1844
Ramsey,27003050223,0,NULL,22.8276
Ramsey,27003050226,0,NULL,23.272
Bloomington,27053025801,0,NULL,23.7422
Savage,27139080100,0,NULL,22.8914
St. Paul,27123033900,1,0.362,24.5058
St. Paul,27123032000,1,0,24.7072
Minneapolis,27053111400,0,0,24.5124
Eagan,27037060735,0,NULL,24.9448
Minneapolis,27053104000,1,0.022,25.8184
Minnetonka,27053026302,0,NULL,23.5524
Bloomington,27053025605,0,NULL,24.6774
Lakeland,27163071101,0,NULL,23.877
Stillwater,27163070502,0,NULL,23.9238
Blaine,27003050808,0,NULL,23.8634
Spring Lake Park,27003051002,0,NULL,23.4584
Woodbury,27163071016,0,NULL,23.9006
May Township,27163070206,0,NULL,22.6034
St. Paul,27123034602,1,0,25.2894
Maplewood,27123042504,0,NULL,24.2094
St. Paul,27123030400,1,0.239,24.1384
Rosemount,27037061004,0,NULL,23.599
Coon Rapids,27003050609,0,NULL,24.8686
Bloomington,27053025201,1,NULL,25.3368
Minneapolis,27053003800,1,0.097,24.8008
Minneapolis,27053110800,0,0,24.6384
Oakdale,27163070911,0,NULL,24.0386
Blaine,27003050806,0,NULL,24.7008
West St. Paul,27037060102,0,NULL,24.9654
Woodbury,27163071018,0,NULL,23.5404
Minneapolis,27053106200,1,0.541,25.0586
St. Paul,27123031500,1,0.752,24.7038
St. Paul,27123030300,0,0.029,24.2158
Minneapolis,27053102000,1,0,23.8062
St. Paul,27123034201,1,0,24.3834
Burnsville,27037060738,0,NULL,23.9528
Minneapolis,27053012101,1,0,24.5746
Minneapolis,27053007700,1,0.027,26.0238
St. Paul,27123034601,1,0,23.9798
Minneapolis,27053100400,1,0,25.4
West Lakeland Township,27163070701,0,NULL,22.1214
Minneapolis,27053107500,0,0.529,26.225
St. Paul,27123034000,1,0.694,25.1754
Crystal,27053020902,0,NULL,24.3016
St. Paul,27123034900,0,0,22.9458
Minneapolis,27053101900,0,0,25.4296
St. Paul,27123036000,0,0.457,24.2428
White Bear Township,27123040503,0,NULL,24.2402
Coon Rapids,27003050608,0,NULL,23.15
Oak Grove,27003050115,0,NULL,22.054
Minneapolis,27053001700,1,0.533,25.3228
Shakopee,27139080500,0,NULL,23.6718
Golden Valley,27053021700,0,NULL,22.8282
Watertown,27019090100,0,NULL,22.783
Maplewood,27123042301,0,NULL,22.6954
St. Paul,27123031900,1,0.008,27.5542
Richfield,27053024901,1,NULL,24.4158
Minneapolis,27053110400,0,0.085,24.5436
Dayton,27053026910,0,NULL,22.3048
Rosemount,27037061005,0,NULL,24.579
St. Paul,27123037601,0,0.278,24.0508
Roseville,27123041602,1,NULL,22.3034
Brooklyn Park,27053026810,1,NULL,24.703
Edina,27053024005,0,NULL,24.8828
East Bethel,27003050109,0,NULL,22.444
Blaine,27003050820,0,NULL,24.375
Champlin,27053026903,0,NULL,24.0124
Blaine,27003050816,0,NULL,25.174
Eden Prairie,27053026019,1,NULL,23.4006
New Brighton,27123041107,0,NULL,25.9136
St. Louis Park,27053022901,0,NULL,24.1604
North St. Paul,27123042601,0,NULL,24.126
Eagan,27037060721,0,NULL,24.0612
Chaska,27019090800,0,NULL,22.8968
Plymouth,27053026610,0,NULL,22.6734
Columbia Heights,27003051302,0,NULL,25.0622
St. Paul,27123034702,1,0,23.9134
Maplewood,27123042201,1,NULL,24.4676
Jackson Township,27139080700,0,NULL,22.4664
Waconia,27019090301,0,NULL,22.8258
Roseville,27123041302,0,NULL,25.7058
Mahtomedi,27163070304,0,NULL,22.7232
Golden Valley,27053021900,0,NULL,24.932
Hugo,27163070203,0,NULL,21.5356
Woodbury,27163071010,0,NULL,25.7636
Eagan,27037060726,0,NULL,24.4412
Woodbury,27163071011,0,NULL,24.05
Minneapolis,27053126000,1,0.189,25.663
Stillwater,27163070501,0,NULL,22.1534
Anoka,27003050401,0,NULL,25.1584
Minneapolis,27053105600,0,0,24.8044
St. Paul,27123033400,1,0,25.076
Lake Elmo,27163070405,0,NULL,21.743
Lakeville,27037060815,0,NULL,23.2004
Apple Valley,27037060826,0,NULL,23.5102
Champlin,27053026908,0,NULL,24.8898
Minneapolis,27053109900,0,0,24.2548
Robbinsdale,27053021200,0,0,25.05
Roseville,27123041601,0,NULL,23.6606
Minneapolis,27053100900,1,0.087,25.1412
Minnetonka,27053026104,0,NULL,23.6682
St. Paul,27123031600,1,0.204,23.631
Minneapolis,27053105400,1,0.768,26.1926
Minneapolis,27053103600,0,0.187,24.3614
Woodbury,27163071015,0,NULL,25.4126
Spring Park,27053027203,0,NULL,21.2752
Minneapolis,27053002700,1,0,25.0236
Maple Grove,27053026711,0,NULL,23.8802
Golden Valley,27053021602,0,NULL,24.7748
St. Louis Park,27053022000,0,NULL,24.7828
Farmington,27037060902,0,NULL,23.1022
Richfield,27053024802,1,NULL,24.874
Mounds View,27123040901,0,NULL,23.9068
Coon Rapids,27003050709,0,NULL,25.0498
Cottage Grove,27163071206,0,NULL,23.7088
Hastings,27037061106,0,NULL,24.3804
Minneapolis,27053107600,0,0,24.3206
Bayport,27163070704,0,NULL,23.4834
Minnetonka,27053026201,0,NULL,24.3572
Minneapolis,27053002200,1,0,24.5012
Forest Lake,27163070105,0,NULL,20.8344
Mound,27053027601,0,NULL,23.4772
St. Paul,27123031300,1,0.308,25.8056
Shorewood,27053027503,0,NULL,21.991
Plymouth,27053026511,0,NULL,23.7884
Plymouth,27053026507,0,NULL,23.6318
Shorewood,27053027504,0,NULL,22.766
Blaine,27003050819,0,NULL,23.8842
Minneapolis,27053008400,1,0.167,25.4716
St. Paul,27123034701,1,0,22.8622
St. Paul,27123037000,0,0,24.1512
Blaine,27003050807,1,NULL,24.0406
Eureka Township,27037061501,0,NULL,22.659
Maple Grove,27053026708,0,NULL,23.139
Minneapolis,27053125900,1,0.049,25.0576
Minneapolis,27053108000,0,0,24.4038
Coon Rapids,27003050605,0,NULL,23.4738
Minneapolis,27053103700,1,0.306,25.243
Edina,27053023902,0,NULL,23.9638
Minneapolis,27053109700,1,0,24.9904
South St. Paul,27037060302,0,NULL,24.8426
Little Canada,27123042101,0,NULL,25.672
Fridley,27003051102,0,NULL,24.5816
Blaine,27003050821,0,NULL,25.1434
Ramsey,27003050227,0,NULL,22.833
Minneapolis,27053010700,0,0,22.9946
Minneapolis,27053104800,1,0.339,26.0506
Minneapolis,27053005902,1,0.577,24.3556
Farmington,27037060906,0,NULL,23.045
New Hope,27053021502,1,NULL,24.5892
Lino Lakes,27003050237,0,NULL,20.586
Vadnais Heights,27123040603,0,NULL,22.7342
Prior Lake,27139080905,1,NULL,22.219
Burnsville,27037060742,0,NULL,22.9798
Crystal,27053021001,0,NULL,25.0202
White Bear Lake,27123040302,0,NULL,22.8144
Maplewood,27123042402,1,NULL,24.6276
Eagan,27037060734,0,NULL,23.8014
Minneapolis,27053103000,0,0.191,24.7044
St. Paul,27123030704,1,0,26.2798
Minneapolis,27053111600,0,0,24.0498
Hastings,27037061108,0,NULL,22.0012
Coon Rapids,27003050606,0,NULL,23.3682
St. Anthony,27053020102,0,NULL,24.4492
St. Louis Park,27053022102,0,NULL,24.2328
Eagan,27037060727,0,NULL,25.302
Eden Prairie,27053026020,0,NULL,24.4822
Fridley,27003051103,1,NULL,24.1894
Minneapolis,27053012102,0,0,24.846
St. Louis Park,27053022802,0,NULL,24.7802
St. Paul,27123033500,1,0.727,25.888
Mayer,27019090200,0,NULL,22.897
White Bear Lake,27123040200,0,NULL,21.9318
Inver Grove Heights,27037060505,0,NULL,22.1992
Minneapolis,27053100200,1,0.027,23.772
Nowthen,27003050116,0,NULL,22.2466
Minneapolis,27053011704,0,0,23.8534
Forest Lake,27163070104,0,NULL,23.4166
Edina,27053023100,0,NULL,23.1792
St. Paul,27123030800,1,0,25.6422
Hastings,27037061105,0,NULL,22.9212
Crystal,27053020903,0,NULL,24.1068
Apple Valley,27037060828,0,NULL,25.1616
Minneapolis,27053106900,1,0.071,25.1852
Osseo,27053026702,0,NULL,25.5298
Minneapolis,27053006800,1,0,25.3038
Brooklyn Center,27053020200,1,NULL,24.1386
St. Louis Park,27053122500,0,NULL,24.137
White Bear Township,27123040100,0,NULL,22.9888
Edina,27053024003,0,NULL,25.4542
Minneapolis,27053010600,0,0,24.134
Minneapolis,27053101600,1,0.157,25.2024
St. Paul,27123034500,1,0,24.1194
Elko New Market,27139081100,0,NULL,19.8092
New Brighton,27123041200,1,NULL,23.5368
