tr10,tr_ej,ctu_prmry,env_js
27053022302,0,St. Louis Park,0
27053027300,0,Wayzata,0
27123031801,1,St. Paul,7
27053102100,1,Minneapolis,7
27053024003,0,Edina,1
27053023200,1,Hopkins,2
27053026511,0,Plymouth,0
27037060728,0,Eagan,0
27053110500,0,Minneapolis,3
27053100200,1,Minneapolis,5
27163070703,0,Oak Park Heights,0
27053103400,1,Minneapolis,7
27003050234,0,Ham Lake,0
27053021502,1,New Hope,4
27053026818,1,Brooklyn Park,3
27053025907,0,Bloomington,0
27123033000,1,St. Paul,7
27053110200,0,Minneapolis,0
27053125700,1,Minneapolis,7
27019091000,0,Chaska,0
27123031701,1,St. Paul,7
27037060710,0,Burnsville,0
27053026509,0,Plymouth,0
27037060824,0,Apple Valley,0
27053106000,1,Minneapolis,7
27053026714,0,Maple Grove,0
27139080202,0,Savage,0
27037060811,0,Apple Valley,1
27003050609,0,Coon Rapids,0
27053102900,1,Minneapolis,7
27053023802,0,Edina,0
27163071001,0,Woodbury,0
27123041200,1,New Brighton,3
27123042800,1,St. Paul,7
27123042302,1,Maplewood,2
27053105700,1,Minneapolis,4
27123034702,1,St. Paul,3
27123040707,0,Shoreview,0
27037060508,0,Inver Grove Heights,0
27003050504,0,Anoka,0
27053108000,0,Minneapolis,0
27123033800,1,St. Paul,5
27003050236,0,Lino Lakes,0
27037060603,0,Mendota Heights,0
27053026103,0,Minnetonka,0
27123030100,0,St. Paul,3
27123041601,0,Roseville,0
27053025100,1,Bloomington,3
27037060505,0,Inver Grove Heights,0
27053008100,0,Minneapolis,0
27053027400,0,Deephaven,0
27053026020,0,Eden Prairie,1
27123031100,1,St. Paul,4
27053012003,1,Minneapolis,2
27123040503,0,White Bear Township,0
27019091202,0,Cologne,0
27003050602,0,Coon Rapids,0
27053104100,1,Minneapolis,7
27037061005,0,Rosemount,0
27053026512,0,Plymouth,0
27163070304,0,Mahtomedi,0
27053002200,1,Minneapolis,7
27053027203,0,Spring Park,0
27053023903,0,Edina,0
27003050902,0,Circle Pines,0
27123041105,0,New Brighton,0
27053102600,1,Minneapolis,5
27053026711,0,Maple Grove,0
27053023502,0,Edina,0
27053023000,0,St. Louis Park,0
27053104400,1,Minneapolis,2
27053100700,1,Minneapolis,6
27003051502,0,Columbia Heights,0
27123032400,1,St. Paul,7
27053026908,0,Champlin,0
27123040200,0,White Bear Lake,1
27053026206,0,Minnetonka,0
27123037200,1,St. Paul,7
27123030702,1,St. Paul,3
27053102000,1,Minneapolis,7
27053012102,0,Minneapolis,3
27003051305,1,Columbia Heights,3
27053009500,1,Minneapolis,3
27053024500,0,Richfield,0
27123040401,0,White Bear Lake,0
27053025906,0,Bloomington,0
27053025603,0,Bloomington,0
27003050610,0,Coon Rapids,0
27037060826,0,Apple Valley,0
27123031300,1,St. Paul,7
27139080203,0,Savage,0
27003050805,0,Blaine,0
27003050221,0,Andover,0
27053024902,1,Richfield,2
27053026018,0,Eden Prairie,0
27053026207,0,Minnetonka,0
27139080700,0,Jackson Township,0
27037060509,0,Inver Grove Heights,0
27139080600,0,Shakopee,0
27123030300,0,St. Paul,3
27037060816,0,Lakeville,0
27123041107,0,New Brighton,0
27037060825,0,Apple Valley,0
27053026007,0,Eden Prairie,0
27003050223,0,Ramsey,0
27053022000,0,St. Louis Park,0
27123040801,0,Arden Hills,1
27123043000,0,St. Paul,0
27019090100,0,Watertown,0
27003051202,0,Fridley,0
27053109300,0,Minneapolis,0
27123030602,0,St. Paul,0
27053023700,0,Edina,0
27163071208,0,Cottage Grove,0
27053122600,0,St. Louis Park,0
27123040603,0,Vadnais Heights,0
27123030201,0,St. Paul,0
27053020302,1,Brooklyn Center,3
27053105400,1,Minneapolis,7
27053021501,0,New Hope,0
27123037100,1,St. Paul,7
27003050702,0,Coon Rapids,0
27053109700,1,Minneapolis,2
27053101300,1,Minneapolis,7
27139080905,1,Prior Lake,0
27053027503,0,Shorewood,0
27003050226,0,Ramsey,0
27053102300,1,Minneapolis,7
27053105201,0,Minneapolis,3
27123033900,1,St. Paul,5
27123036400,0,St. Paul,0
27123040604,0,Vadnais Heights,0
27037061107,0,Hastings,0
27123037402,1,St. Paul,2
27037061401,1,Ravenna Township,0
27123042602,0,North St. Paul,0
27053026505,0,Plymouth,0
27053025702,0,Bloomington,0
27123042700,0,North St. Paul,0
27053026016,0,Eden Prairie,0
27163070701,0,West Lakeland Township,0
27123033500,1,St. Paul,7
27123042001,1,Falcon Heights,1
27003050116,0,Nowthen,0
27053027101,0,Medina,0
27053026611,0,Plymouth,0
27003050401,0,Anoka,0
27053023100,0,Edina,0
27163070907,0,Oakdale,1
27139080903,1,Prior Lake,0
27037060605,0,Mendota Heights,0
27053008200,1,Minneapolis,7
27139080800,0,Jordan,0
27037061007,0,Rosemount,0
27037060744,0,Eagan,1
27053026807,1,Brooklyn Park,2
27123030400,1,St. Paul,7
27053103600,0,Minneapolis,3
27053111200,0,Minneapolis,0
27053022700,0,St. Louis Park,0
27053021602,0,Golden Valley,0
27037060721,0,Eagan,0
27139080201,0,Savage,0
27037060725,0,Eagan,1
27037060829,0,Apple Valley,0
27123032700,1,St. Paul,7
27037061502,0,Northfield,0
27053021300,0,Robbinsdale,2
27053026208,0,Minnetonka,0
27139080906,0,Prior Lake,0
27139080500,0,Shakopee,1
27053107400,1,Minneapolis,6
27037060745,0,Burnsville,0
27037060709,0,Burnsville,0
27053022801,0,St. Louis Park,0
27053024802,1,Richfield,4
27003050402,0,Anoka,1
27003050820,0,Blaine,0
27053026716,0,Maple Grove,0
27053025301,0,Bloomington,0
27123040803,0,Arden Hills,0
27053025601,0,Bloomington,0
27123040901,0,Mounds View,1
27053022101,0,St. Louis Park,0
27053026019,1,Eden Prairie,2
27053020101,0,St. Anthony,0
27037060749,0,Eagan,0
27037060813,0,Lakeville,0
27003050816,0,Blaine,0
27053024600,0,Richfield,2
27003050235,0,Ham Lake,0
27037060746,0,Burnsville,0
27123035200,0,St. Paul,3
27053026819,1,Brooklyn Park,4
27003051002,0,Spring Lake Park,0
27037061009,0,Rosemount,0
27053109200,0,Minneapolis,0
27053005901,1,Minneapolis,7
27053026815,1,Brooklyn Park,2
27053106600,0,Minneapolis,0
27053103100,1,Minneapolis,4
27163070911,0,Oakdale,0
27003050109,0,East Bethel,0
27163070203,0,Hugo,0
27037060747,0,Burnsville,0
27123040601,0,North Oaks,0
27053110400,0,Minneapolis,3
27053020804,1,Crystal,3
27053021504,0,New Hope,0
27053021700,0,Golden Valley,0
27053020903,0,Crystal,0
27123037500,0,St. Paul,0
27123032600,1,St. Paul,7
27003051203,0,Fridley,0
27019090200,0,Mayer,0
27053027102,0,Corcoran,0
27053106200,1,Minneapolis,7
27053006800,1,Minneapolis,4
27053026811,1,Brooklyn Park,2
27053101200,0,Minneapolis,3
27003050210,0,Columbus,0
27037060606,0,Mendota Heights,0
27053027201,0,Orono,0
27053021400,0,Robbinsdale,0
27053026610,0,Plymouth,0
27037060907,0,Farmington,0
27053025401,1,Bloomington,2
27123034400,1,St. Paul,7
27053020902,0,Crystal,0
27037060742,0,Burnsville,0
27053007801,1,Minneapolis,7
27053002700,1,Minneapolis,7
27003050501,0,Anoka,1
27123042401,0,Maplewood,0
27003051501,1,Columbia Heights,2
27003050237,0,Lino Lakes,0
27037061108,0,Hastings,0
27053000101,1,Minneapolis,6
27037060906,0,Farmington,0
27053021002,0,Crystal,0
27053108900,0,Minneapolis,1
27123033700,1,St. Paul,7
27037060733,0,Eagan,0
27163071010,0,Woodbury,0
27003050215,0,Ham Lake,0
27053024004,0,Edina,0
27003050225,0,Ramsey,0
27053010700,0,Minneapolis,0
27123031702,1,St. Paul,7
27019090402,0,Victoria,0
27123041001,0,Mounds View,0
27003050229,0,Lino Lakes,0
27053111500,0,Minneapolis,0
27123031200,1,St. Paul,3
27123036600,0,St. Paul,3
27053022802,0,St. Louis Park,0
27037060821,0,Lakeville,0
27053024100,0,Richfield,0
27163071014,0,Woodbury,0
27123040504,0,White Bear Lake,0
27053103900,1,Minneapolis,5
27053103000,0,Minneapolis,3
27053020500,1,Brooklyn Center,2
27163070303,0,Mahtomedi,0
27123042900,0,St. Paul,3
27003050707,0,Coon Rapids,1
27053125800,1,Minneapolis,7
27053101900,0,Minneapolis,3
27037060714,0,Burnsville,0
27053011704,0,Minneapolis,0
27053101800,1,Minneapolis,6
27139080205,0,Savage,0
27019090501,0,Chanhassen,0
27053026014,0,Eden Prairie,0
27037060820,0,Lakeville,0
27037060302,0,South St. Paul,0
27123041500,0,Roseville,0
27053003800,1,Minneapolis,5
27163071017,0,Woodbury,0
27123030900,1,St. Paul,7
27123031802,1,St. Paul,6
27037060507,0,Inver Grove Heights,1
27123036900,0,St. Paul,3
27037060905,0,Farmington,0
27123035700,0,St. Paul,0
27123033100,1,St. Paul,6
27053110800,0,Minneapolis,0
27037060815,0,Lakeville,0
27123034201,1,St. Paul,0
27163071102,0,Afton,0
27123040706,0,Shoreview,0
27053025605,0,Bloomington,0
27053001100,0,Minneapolis,3
27053011703,0,Minneapolis,0
27053023300,0,Hopkins,0
27037060814,0,Lakeville,0
27019090900,0,Chaska,0
27053027501,0,Excelsior,0
27053023901,0,Edina,0
27053104800,1,Minneapolis,7
27037060731,0,Eagan,0
27053021800,0,Golden Valley,0
27053023902,0,Edina,0
27037060743,1,Eagan,2
27003050228,0,Ramsey,0
27139081000,0,Credit River Township,0
27163071206,0,Cottage Grove,0
27053126000,1,Minneapolis,7
27003050811,0,Blaine,0
27003050821,0,Blaine,0
27053023600,0,Edina,0
27123042201,1,Maplewood,2
27123036500,0,St. Paul,0
27053027602,0,Mound,0
27123030800,1,St. Paul,7
27053105100,0,Minneapolis,0
27037061003,0,Rosemount,0
27163070105,0,Forest Lake,0
27139081300,0,Belle Plaine,0
27053109900,0,Minneapolis,0
27123040705,0,Shoreview,0
27003051101,0,Fridley,0
27123042002,0,Lauderdale,0
27053008500,1,Minneapolis,7
27003050809,0,Blaine,0
27003050233,0,Lino Lakes,0
27053022400,0,St. Louis Park,0
27163070403,0,Grant,0
27163070404,0,Stillwater,0
27053126200,0,Minneapolis,3
27053026301,0,Minnetonka,0
27123041106,0,New Brighton,0
27037060402,0,South St. Paul,3
27053105500,0,Minneapolis,3
27123037602,1,St. Paul,6
27053027202,0,Long Lake,1
27053024006,0,Edina,0
27123034601,1,St. Paul,7
27053102800,1,Minneapolis,7
27019090800,0,Chaska,0
27003050605,0,Coon Rapids,0
27053106500,0,Minneapolis,3
27123041900,0,Falcon Heights,0
27037060732,0,Eagan,0
27053027001,0,Greenfield,1
27163071209,0,Cottage Grove,0
27123033200,1,St. Paul,3
27053020400,1,Brooklyn Center,3
27037060734,0,Eagan,0
27037060823,0,Apple Valley,0
27053109800,0,Minneapolis,3
27053026609,0,Plymouth,0
27123041800,0,Roseville,0
27053026005,0,Eden Prairie,0
27123031000,1,St. Paul,7
27053000603,0,Minneapolis,0
27123030500,1,St. Paul,7
27037060102,0,West St. Paul,1
27139080100,0,Savage,0
27123036100,1,St. Paul,7
27003050607,0,Coon Rapids,1
27163071013,0,Woodbury,0
27123037601,0,St. Paul,3
27053026713,0,Maple Grove,0
27037060741,0,Burnsville,3
27053106900,1,Minneapolis,4
27037060604,0,Mendota Heights,0
27037060748,0,Burnsville,0
27037060750,0,Eagan,0
27053024400,0,Richfield,0
27003050608,0,Coon Rapids,0
27053100500,0,Minneapolis,3
27053026909,0,Rogers,0
27053021200,0,Robbinsdale,0
27053106400,1,Minneapolis,5
27053027504,0,Shorewood,0
27053026809,1,Brooklyn Park,4
27003050224,0,Ramsey,0
27053027700,0,Minnetrista,0
27053107500,0,Minneapolis,3
27053026814,1,Brooklyn Park,2
27053020700,0,Crystal,0
27019091100,0,Carver,0
27053007700,1,Minneapolis,3
27053107600,0,Minneapolis,3
27053022102,0,St. Louis Park,0
27003050110,0,East Bethel,0
27053026015,0,Eden Prairie,0
27123042202,0,Maplewood,0
27003051302,0,Columbia Heights,3
27053024200,0,Richfield,0
27123032500,1,St. Paul,7
27053021503,0,New Hope,0
27003050115,0,Oak Grove,0
27003051600,0,Linwood Township,0
27053005902,1,Minneapolis,7
27053026404,0,Minnetonka,0
27053020303,1,Brooklyn Center,3
27123042504,0,Maplewood,0
27003051001,0,Spring Lake Park,0
27123036000,0,St. Paul,3
27123037000,0,St. Paul,0
27053003300,1,Minneapolis,7
27053025801,0,Bloomington,0
27037060713,0,Burnsville,0
27003050704,0,Coon Rapids,0
27053023501,0,Edina,0
27053020200,1,Brooklyn Center,4
27019090503,0,Chanhassen,0
27123032100,1,St. Paul,4
27003050901,0,Lexington,1
27019090601,0,Chanhassen,0
27037061501,0,Eureka Township,0
27163070406,0,Lake Elmo,0
27053026812,1,Brooklyn Park,2
27163070909,0,Oakdale,0
27037060729,0,Eagan,0
27003050216,0,Ham Lake,0
27053024300,0,Richfield,2
27123031900,1,St. Paul,2
27053026006,0,Eden Prairie,0
27053026605,0,Plymouth,0
27053008300,1,Minneapolis,7
27053102500,1,Minneapolis,5
27003050114,0,Oak Grove,0
27053111600,0,Minneapolis,0
27053011000,0,Minneapolis,0
27003051206,0,Fridley,0
27037061001,0,Empire Township,0
27037060806,0,Apple Valley,0
27019090502,0,Chanhassen,0
27053026820,0,Brooklyn Park,0
27019090702,0,Chanhassen,0
27123034701,1,St. Paul,4
27053122500,0,St. Louis Park,0
27163071011,0,Woodbury,0
27163070206,0,May Township,0
27053111300,0,Minneapolis,0
27053026907,0,Champlin,0
27037060828,0,Apple Valley,0
27053026202,0,Minnetonka,0
27003050606,0,Coon Rapids,0
27123032000,1,St. Paul,3
27037060101,0,West St. Paul,2
27053026708,0,Maple Grove,0
27053026706,0,Maple Grove,0
27053104000,1,Minneapolis,5
27123042503,0,Maplewood,0
27037060822,0,Apple Valley,0
27053026822,0,Brooklyn Park,0
27053026816,1,Brooklyn Park,3
27163071400,0,Cottage Grove,0
27163070912,1,Oakdale,0
27163070602,0,Stillwater,0
27003050813,0,Blaine,0
27053002400,0,Minneapolis,3
27003051304,1,Columbia Heights,2
27053108700,0,Minneapolis,3
27123035900,1,St. Paul,4
27053026104,0,Minnetonka,0
27163070801,0,Bayport,2
27053025903,0,Bloomington,0
27003050107,0,St. Francis,0
27163071101,0,Lakeland,0
27053021900,0,Golden Valley,0
27019090701,0,Chanhassen,0
27123034500,1,St. Paul,7
27053025802,0,Bloomington,0
27003050706,0,Coon Rapids,0
27037060401,0,South St. Paul,0
27123040502,0,White Bear Lake,1
27053026205,0,Minnetonka,0
27037060738,0,Burnsville,0
27003050709,0,Coon Rapids,0
27037060717,0,Eagan,0
27053020600,1,Brooklyn Center,2
27139080400,1,Shakopee,3
27037060805,1,Apple Valley,2
27037060103,0,West St. Paul,0
27053026712,0,Maple Grove,1
27123042101,0,Little Canada,0
27053026021,0,Eden Prairie,0
27053003200,1,Minneapolis,6
27037061102,0,Hastings,0
27163071003,0,Newport,0
27163070906,0,Oakdale,0
27123034602,1,St. Paul,7
27163070103,0,Forest Lake,0
27053026613,0,Plymouth,0
27139080301,0,Shakopee,0
27037060726,0,Eagan,1
27053026702,0,Osseo,0
27123032200,0,St. Paul,3
27053026201,0,Minnetonka,0
27037060201,0,South St. Paul,0
27053020304,1,Brooklyn Center,3
27053111400,0,Minneapolis,0
27123035000,0,St. Paul,0
27163071012,0,Woodbury,0
27003050218,0,Andover,0
27053126100,0,Minneapolis,0
27053105204,1,Minneapolis,3
27037060818,0,Lakeville,0
27163071018,0,Woodbury,0
27123036800,1,St. Paul,3
27053026507,0,Plymouth,0
27123030202,0,St. Paul,0
27053023801,0,Edina,0
27053022200,0,St. Louis Park,0
27123040402,0,White Bear Lake,0
27123035800,0,St. Paul,3
27053100400,1,Minneapolis,7
27123035500,0,St. Paul,3
27139081100,0,Elko New Market,0
27019090401,0,Victoria,0
27123041103,0,St. Anthony,0
27123031400,1,St. Paul,7
27037060104,0,West St. Paul,0
27003050819,0,Blaine,0
27053105600,0,Minneapolis,3
27053024901,1,Richfield,3
27163070704,0,Bayport,0
27123041700,0,Roseville,0
27123031500,1,St. Paul,7
27003051102,0,Fridley,3
27037060503,0,Inver Grove Heights,0
27123035300,0,St. Paul,3
27003050220,0,Andover,0
27123031600,1,St. Paul,7
27053125900,1,Minneapolis,7
27123040301,0,White Bear Lake,0
27053109100,0,Minneapolis,0
27123042301,0,Maplewood,0
27053024903,1,Richfield,4
27053026302,0,Minnetonka,0
27037060716,0,Eagan,0
27053026402,0,Minnetonka,0
27163070601,0,Stillwater,0
27053027002,0,Independence,0
27053125500,0,Bloomington,0
27053020801,0,Crystal,0
27163070502,0,Stillwater,0
27123036700,0,St. Paul,3
27003050710,0,Coon Rapids,0
27053025205,0,Bloomington,2
27003050108,0,St. Francis,0
27053109000,0,Minneapolis,0
27123042402,1,Maplewood,1
27123040704,0,Shoreview,0
27003050711,0,Coon Rapids,0
27123040302,0,White Bear Lake,0
27163070106,0,Forest Lake,0
27003050208,0,Andover,0
27003050227,0,Ramsey,0
27053108600,1,Minneapolis,5
27123033400,1,St. Paul,5
27003050818,0,Blaine,0
27053108800,1,Minneapolis,5
27053024700,0,Richfield,0
27139080302,0,Shakopee,0
27053009600,0,Minneapolis,0
27053001700,1,Minneapolis,7
27053026022,0,Eden Prairie,0
27053100900,1,Minneapolis,7
27037060819,0,Lakeville,0
27053125600,0,Minneapolis,0
27163070405,0,Lake Elmo,0
27053025701,0,Bloomington,0
27123040100,0,White Bear Township,0
27003050217,0,Andover,0
27037060812,0,Apple Valley,0
27003050232,0,Centerville,0
27123041302,0,Roseville,0
27123040902,0,Mounds View,3
27163070501,0,Stillwater,0
27123030601,1,St. Paul,7
27003051103,1,Fridley,2
27123030703,1,St. Paul,3
27003050810,0,Blaine,1
27053010600,0,Minneapolis,0
27053980000,1,Fort Snelling (Unorganized),4
27053111100,0,Minneapolis,0
27053022901,0,St. Louis Park,0
27053026403,0,Minnetonka,0
27123030704,1,St. Paul,3
27053000102,1,Minneapolis,7
27003050219,0,Andover,0
27123034000,1,St. Paul,3
